locatie_code;locatie_lat_etrs89;locatie_lon_etrs89;grootheid_code;grootheid_omschrijving;parameter_code;parameter_omschrijving;hoedanigheid_code;hoedanigheid_omschrijving;compartiment_code;compartiment_omschrijving;eenheid_code;eenheid_omschrijving;typering_code;typering_omschrijving;biotaxon_code;biotaxon_omschrijving;orgaan_code;orgaan_omschrijving;samengestelde_klasse_code;samengestelde_klasse_omschrijving;bemonsterings_soort_code;bemonsterings_apparaat_code;meetapparaat_code;waardebepalings_techniek_code;waardebepalings_methode_code;eventdatum;eventtijd;event_exnum;event_externe_code;event_resultaattijd;event_waarde;event_waarde_limietsymbool;event_waarde_tekst;status_waarde;event_aquocode;inventarisaties_code;inventarisaties_omschrijving
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;111TClC2a;1,1,1-trichloorethaan;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:I15680;2025-01-06;11:55:00;0;2025000334#510TA100'T0001631078#008;2025-01-06 11:55:00.0;0.01;<;+.100E-01;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;111TClC2a;1,1,1-trichloorethaan;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:I15680;2025-02-03;09:41:00;0;2025001674#510TA100'T0001642034#008;2025-02-03 09:41:00.0;0.01;<;+.100E-01;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;111TClC2a;1,1,1-trichloorethaan;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:I15680;2025-08-18;12:00:00;0;2025011664#510TA100'T0001707889#008;2025-08-18 12:00:00.0;0.1;<;0.100;Ongecontroleerd;03;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;111TClC2a;1,1,1-trichloorethaan;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:I15680;2025-10-13;08:55:00;0;2025012774#510TA100'T0001719431#008;2025-10-13 08:55:00.0;0.01;<;0.0100;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;1122T4ClC2a;1,1,2,2-tetrachloorethaan;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:I15680;2025-01-06;11:55:00;0;2025000334#510TA100'T0001631078#008;2025-01-06 11:55:00.0;0.1;<;+.100E+00;Ongecontroleerd;03;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;1122T4ClC2a;1,1,2,2-tetrachloorethaan;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:I15680;2025-02-03;09:41:00;0;2025001674#510TA100'T0001642034#008;2025-02-03 09:41:00.0;0.1;<;+.100E+00;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;1122T4ClC2a;1,1,2,2-tetrachloorethaan;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:I15680;2025-08-18;12:00:00;0;2025011664#510TA100'T0001707889#008;2025-08-18 12:00:00.0;1.0;<;1.00;Ongecontroleerd;03;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;1122T4ClC2a;1,1,2,2-tetrachloorethaan;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:I15680;2025-10-13;08:55:00;0;2025012774#510TA100'T0001719431#008;2025-10-13 08:55:00.0;0.1;<;0.100;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;112TClC2a;1,1,2-trichloorethaan;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:I15680;2025-01-06;11:55:00;0;2025000334#510TA100'T0001631078#008;2025-01-06 11:55:00.0;0.01;<;+.100E-01;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;112TClC2a;1,1,2-trichloorethaan;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:I15680;2025-02-03;09:41:00;0;2025001674#510TA100'T0001642034#008;2025-02-03 09:41:00.0;0.01;<;+.100E-01;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;112TClC2a;1,1,2-trichloorethaan;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:I15680;2025-08-18;12:00:00;0;2025011664#510TA100'T0001707889#008;2025-08-18 12:00:00.0;0.1;<;0.100;Ongecontroleerd;03;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;112TClC2a;1,1,2-trichloorethaan;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:I15680;2025-10-13;08:55:00;0;2025012774#510TA100'T0001719431#008;2025-10-13 08:55:00.0;0.01;<;0.0100;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;11DClC2a;1,1-dichloorethaan;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:I15680;2025-01-06;11:55:00;0;2025000334#510TA100'T0001631078#008;2025-01-06 11:55:00.0;0.01;<;+.100E-01;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;11DClC2a;1,1-dichloorethaan;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:I15680;2025-02-03;09:41:00;0;2025001674#510TA100'T0001642034#008;2025-02-03 09:41:00.0;0.01;<;+.100E-01;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;11DClC2a;1,1-dichloorethaan;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:I15680;2025-08-18;12:00:00;0;2025011664#510TA100'T0001707889#008;2025-08-18 12:00:00.0;0.1;<;0.100;Ongecontroleerd;03;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;11DClC2a;1,1-dichloorethaan;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:I15680;2025-10-13;08:55:00;0;2025012774#510TA100'T0001719431#008;2025-10-13 08:55:00.0;0.01;<;0.0100;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;11DClC2e;1,1-dichlooretheen;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:I15680;2025-01-06;11:55:00;0;2025000334#510TA100'T0001631078#008;2025-01-06 11:55:00.0;0.05;<;+.500E-01;Ongecontroleerd;00;NVT;Niet van toepassing
