Stofnaam,RPF,RBF
trifluorazijnzuur,"0,002","0"
perfluorpropaanzuur,"0,05","0"
perfluorbutaanzuur,"0,05","0,005"
perfluorpentaanzuur,"0,05","0,02"
perfluorhexaanzuur,"0,01","0,07"
perfluorheptaanzuur,"1","0,3"
perfluoroctaanzuur,"1","1"
perfluornonaanzuur,"10","4"
perfluordecaanzuur,"10","10"
perfluorundecaanzuur,"4","60"
perfluordodecaanzuur,"3","200"
perfluortridecaanzuur,"3","100"
perfluortetradecaanzuur,"0,3","40"
PFHxDA,"0,02","40"
PFODA,"0,02","40"
perfluorbutaansulfonzuur,"0,001","0,1"
perfluorpentaansulfonzuur,"0,6","0,4"
perfluorhexaansulfonzuur,"0,6","2"
perfluorheptaansulfonzuur,"2","6"
perfluor-1-octaansulfonaat (lineair),"2","20"
perfluordecaansulfonzuur,"2","300"
perfluor-2-propoxypropaanzuur,"0,06","0,3"
"4,8-dioxa-3H-perfluornonaanzuur","0,03","1"
6:2 FTOH,"1","0,3"
8:2 FTOH,"10","4"
10:2 FTOH,"4","60"
4:2 FTS,"0,05","0,02"
6:2 FTS,"1","0,3"
8:2 FTS,"10","4"
10:2 FTS,"4","60"
perfluoroctaansulfonamide,"2","20"
N-ethyl-perfluoroctaan sulfonamidoazijnzuur,"2","20"
N-methyl-perfluoroctaan sulfonamidoazijnzuur,"2","20"
TeFPrA,"0,01","0"
6:2 diPAP,"1","0,3"
8:2 diPAP,"10","4"
