stofnaam,signaleringswaarde
troebelheid,70
caffeine,1
carbamazepine,0.1
diazepam,0.1
isoforon,1
isoforonnitril,1
xyleen,1
methylisothiocyanaat,0.1
methyl-tertiair-butylether,1
naftaleen,1
fenazon (antipyrine),0.1
pyrazol,1
styreen,1
sulfamethoxazol,0.1
trichloorpropylfosfaat,1
tetrabutylammonium,1
tetrachlooretheen (per),1
tetraethyleenglycoldimethylether,1
tetrahydrofuran,1
tetrapropylammonium,1
tributylfosfaat,1
triethylfosfaat,1
"2,5,8,11-tetraoxadodecaan",1
triisobutylfosfaat,1
trifenylfosfaat,1
tri(2-chloorethyl)fosfaat,1
trifluoromethylbenzamide,1
trifenylfosfineoxide,0.3
"2 phenylbenzimidazolesulfonzuur",0.3
diethyltoluamide,0.3
sotalol,0.3
ethyleendiaminetetraethaanzuur (edta),1
"1,3,5-triazine-2,4,6-triamine (melamine)",1
sucralose,1
hexamethyleentetramine (urotropine),1
nitrilotriazijnzuur (nta),1
acesulfaam,1
"1,2,3-benzotriazool",1
jomeprol,1
metformine,1
jopamidol,1
johexol,1
gabapentine,1
"1,2-dimethoxyethaan",1
amidotrizoã¯nezuur,1
candesartan,1
cyclamaat,1
di-ethyleentriaminepentaazijnzuur (dtpa),1
guanylureum,1
trichloormethaan (chloroform),1
chroom,3.6
arseen,1
seleen,1
tin,1
uranium,1
cyanide,1
jopromide,1
lanthaan,10
wolfraam,0.5
arsenaat,0.5
kobalt,1
praseodymium,0.5
samarium,0.5
thorium,8
zirkonium,2.6
lood,1.4
koper,2.5
neodymium,2
niobium,2
nikkel,6.5
vanadium,5.6
yttrium,5
valsartan,1
triglyme,1
tetraglyme,1
diglyme,1
"1,2,4-trimethylbenzeen",1
zink,9.3
cesium,7.4
gallium,35
scandium,20
chroom (zeswaardig),0.2

